Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Country
2020-11-10 11:16:35+00:00,1326121572235554817,Thank you Austrian Chancellor @sebastiankurz for hosting our sixth virtual meeting since the pandemic began and for the update on how Austria is recovering after last week’s terrible terrorist attacks.,ScottMorrisonMP,248,18,Australia
2020-11-10 11:16:34+00:00,1326121566627794944,"We shared experiences about second waves, avoiding lockdowns, and keeping our economies open safely. We also discussed next steps on a vaccine and how it’s critical we collaborate on distribution and sharing.",ScottMorrisonMP,332,23,Australia
2020-11-10 11:16:33+00:00,1326121564245352450,"Tonight I had another very useful discussion with leaders from Austria, Czech Republic, Denmark, Greece, Israel and Norway on our fight against #COVID19. ",ScottMorrisonMP,869,60,Australia
2020-11-10 06:02:40+00:00,1326042570833620992,"Well done Australia! For the first time in over 250 days, we’ve recorded 3 days in a row of no locally acquired cases of #COVID19 across Australia. However, now is not the time to become complacent – we know how quickly this virus can spread – so please keep being #COVIDSafe. ",ScottMorrisonMP,3077,322,Australia
2020-11-10 05:57:19+00:00,1326041225820921857,"A quick shout out to congratulate @ShaneFitzAU on his nomination from my home state of NSW for #AusOfTheYear. I worked closely  with Shane, and I’m pleased his extraordinary professionalism, compassion and leadership over many years at the @NSWRFS has been recognised.",ScottMorrisonMP,459,31,Australia
2020-11-07 20:53:53+00:00,1325179691284668424,"Congratulations to @joebiden and @kamalaharris - Australia wishes you every success in office. The Australia-US Alliance is deep and enduring, and built on shared values. I look forward to working with you closely as we face the world’s many challenges together.",ScottMorrisonMP,70118,8414,Australia
2020-11-07 11:05:10+00:00,1325031534491967488,"Comebacks don’t come any better. Congrats @Wallabies  on an inspiring win over the @AllBlacks, full of belief and passion. And what a way for James Slipper to mark up his 100 caps. ",ScottMorrisonMP,1271,71,Australia
2020-11-03 00:07:25+00:00,1323416455694544897,"We pray for, and stand firm with, our Austrian friends against acts of violence, terror and intimidation, and all they seek to undermine.",ScottMorrisonMP,630,56,Australia
2020-11-03 00:07:24+00:00,1323416452720832512,"Deeply shocked by the awful terror attacks in Austria. The situation remains fluid and details of the attack are still not clear. I have contacted Austrian Chancellor @sebastiankurz to convey our thoughts, condolences and assurances to the Austrian people.",ScottMorrisonMP,1503,149,Australia
2020-11-01 06:51:02+00:00,1322793255021420545,"Well done Australia. How good! Let’s keep it that way. We’ve seen here, and are seeing again overseas, how quickly this virus spreads, so please stay COVIDSafe. ",ScottMorrisonMP,3515,320,Australia
